id,category,source_group,url,title,type,region,notes,visual_patterns,sales_patterns,czs_relevance,status
NL-0001,newspaper_landing,newshomepages_sites_csv,http://100r.org/,100Reporters,news_homepage,US,NewsHomepages source: Washington; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0002,newspaper_landing,newshomepages_sites_csv,https://www.11alive.com,11Alive News,news_homepage,US,NewsHomepages source: Atlanta; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0003,newspaper_landing,newshomepages_sites_csv,https://baahrakhari.com/,Baahrakhari,news_homepage,NP,NewsHomepages source: Kathmandu; language ne,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0004,newspaper_landing,newshomepages_sites_csv,https://www.12newsnow.com/,12 News Now,news_homepage,US,NewsHomepages source: Beaumont; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0005,newspaper_landing,newshomepages_sites_csv,https://www.13wmaz.com,13WMAZ News,news_homepage,US,NewsHomepages source: Macon; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0006,newspaper_landing,newshomepages_sites_csv,http://fourteeneastmag.com/,14 East,news_homepage,US,NewsHomepages source: Chicago; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0007,newspaper_landing,newshomepages_sites_csv,https://19thnews.org/,19th,news_homepage,US,NewsHomepages source: Austin; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0008,newspaper_landing,newshomepages_sites_csv,https://www.1news.co.nz/,1News,news_homepage,NZ,NewsHomepages source: Auckland; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0009,newspaper_landing,newshomepages_sites_csv,https://www.20minutes.fr/,20 Minutes,news_homepage,FR,NewsHomepages source: Paris; language fr,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0010,newspaper_landing,newshomepages_sites_csv,https://www.3newsnow.com/,KMTV 3 News Now,news_homepage,US,NewsHomepages source: Omaha; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0011,newspaper_landing,newshomepages_sites_csv,https://www.404media.co/,404 Media,news_homepage,US,NewsHomepages source: San Francisco; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0012,newspaper_landing,newshomepages_sites_csv,https://www.41nbc.com,41NBC / WMGT,news_homepage,US,NewsHomepages source: Macon; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0013,newspaper_landing,newshomepages_sites_csv,https://6abc.com/,6abc,news_homepage,US,NewsHomepages source: Philadelphia; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0014,newspaper_landing,newshomepages_sites_csv,https://www.9news.com/,9NEWS Denver,news_homepage,US,NewsHomepages source: Denver; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0015,newspaper_landing,newshomepages_sites_csv,https://9to5mac.com/,9to5Mac,news_homepage,US,NewsHomepages source: Cupertino; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0016,newspaper_landing,newshomepages_sites_csv,https://abcnews.go.com/,ABC News,news_homepage,US,NewsHomepages source: New York City; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0017,newspaper_landing,newshomepages_sites_csv,https://www.abc.es/,ABC,news_homepage,ES,NewsHomepages source: Madrid; language es,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0018,newspaper_landing,newshomepages_sites_csv,https://www.abc15.com/,ABC15 Arizona,news_homepage,US,NewsHomepages source: Phoenix; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0019,newspaper_landing,newshomepages_sites_csv,https://abc3340.com/,ABC 33/40 News,news_homepage,US,NewsHomepages source: Birmingham; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
